class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.8957169651985168,0.6784203052520752,0.8957169651985168,0.7720706462860107
2,fish_03,719,0.732962429523468,0.6288782954216003,0.732962429523468,0.6769428849220276
3,fish_04,810,0.8246913552284241,0.9421720504760742,0.8246913552284241,0.8795260190963745
4,fish_05,507,0.9881656765937805,0.9506641626358032,0.9881656765937805,0.9690521955490112
5,fish_06,38,0.8947368264198303,0.05743243172764778,0.8947368264198303,0.10793650895357132
6,fish_07,90,1.0,0.6766917109489441,1.0,0.8071748614311218
7,fish_08,44,0.9772727489471436,0.06107954680919647,0.9772727489471436,0.1149732694029808
8,fish_09,48,1.0,0.8571428656578064,1.0,0.9230769276618958
9,fish_10,60,1.0,0.8695651888847351,1.0,0.9302325248718262
10,fish_11,20,1.0,0.7692307829856873,1.0,0.8695651888847351
11,fish_12,29,1.0,0.2989690601825714,1.0,0.460317462682724
12,fish_13,36,1.0,0.6666666865348816,1.0,0.800000011920929
13,fish_14,18,1.0,0.03837953135371208,1.0,0.07392197102308273
14,fish_15,8,0.625,0.03759398311376572,0.625,0.07092198729515076
15,fish_16,41,1.0,0.640625,1.0,0.7809523940086365
16,fish_17,10,1.0,0.16393442451953888,1.0,0.2816901206970215
17,fish_18,11,1.0,0.7333333492279053,1.0,0.8461538553237915
18,fish_19,6,1.0,0.2222222238779068,1.0,0.3636363744735718
19,fish_20,4,0.75,0.75,0.75,0.75
20,fish_21,3,0.3333333432674408,0.009708737954497337,0.3333333432674408,0.01886792480945587
21,fish_22,8,0.875,0.09589041024446487,0.875,0.17283950746059418
22,fish_23,5,1.0,0.4545454680919647,1.0,0.625
