class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9473684210526315,0.03753910323253389,0.9473684210526315,0.07221664994984955
6,fish_07,90,0.9444444444444444,0.28619528619528617,0.9444444444444444,0.4392764857881137
7,fish_08,44,0.8181818181818182,0.034026465028355386,0.8181818181818182,0.06533575317604355
8,fish_09,48,0.9791666666666666,0.573170731707317,0.9791666666666666,0.7230769230769231
9,fish_10,60,0.9833333333333333,0.26222222222222225,0.9833333333333333,0.41403508771929826
10,fish_11,20,1.0,0.29411764705882354,1.0,0.45454545454545453
11,fish_12,29,1.0,0.03258426966292135,1.0,0.06311207834602829
12,fish_13,36,0.9444444444444444,0.20987654320987653,0.9444444444444444,0.3434343434343434
13,fish_14,18,1.0,0.021634615384615384,1.0,0.042352941176470586
14,fish_15,8,0.75,0.01744186046511628,0.75,0.03409090909090909
15,fish_16,41,1.0,0.20098039215686275,1.0,0.3346938775510204
16,fish_17,10,1.0,0.20408163265306123,1.0,0.3389830508474576
17,fish_18,11,0.9090909090909091,0.12987012987012986,0.9090909090909091,0.22727272727272727
18,fish_19,6,1.0,0.3157894736842105,1.0,0.48
19,fish_20,4,0.75,0.75,0.75,0.75
20,fish_21,3,0.3333333333333333,0.01818181818181818,0.3333333333333333,0.034482758620689655
21,fish_22,8,1.0,0.057971014492753624,1.0,0.1095890410958904
22,fish_23,5,1.0,0.45454545454545453,1.0,0.625
