class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.8808193802833557,0.8553345203399658,0.8808193802833557,0.8678898811340332
2,fish_03,719,0.7899860739707947,0.5482625365257263,0.7899860739707947,0.6472934484481812
3,fish_04,810,0.9320987462997437,0.9252451062202454,0.9320987462997437,0.928659200668335
4,fish_05,507,0.9921104311943054,0.9014337062835693,0.9921104311943054,0.9446009397506714
5,fish_06,38,1.0,0.09112709760665894,1.0,0.16703295707702637
6,fish_07,90,0.9888888597488403,0.6846153736114502,0.9888888597488403,0.8090909123420715
7,fish_08,44,0.9318181872367859,0.05823863670229912,0.9318181872367859,0.1096256673336029
8,fish_09,48,1.0,0.8727272748947144,1.0,0.9320388436317444
9,fish_10,60,1.0,0.8823529481887817,1.0,0.9375
10,fish_11,20,1.0,0.5555555820465088,1.0,0.7142857313156128
11,fish_12,29,1.0,0.18709677457809448,1.0,0.31521737575531006
12,fish_13,36,0.9444444179534912,0.7555555701255798,0.9444444179534912,0.8395061492919922
13,fish_14,18,1.0,0.0422535203397274,1.0,0.0810810849070549
14,fish_15,8,0.625,0.0301204826682806,0.625,0.05747126415371895
15,fish_16,41,1.0,0.9111111164093018,1.0,0.9534883499145508
16,fish_17,10,1.0,0.37037035822868347,1.0,0.5405405163764954
17,fish_18,11,1.0,0.47826087474823,1.0,0.6470588445663452
18,fish_19,6,1.0,0.2222222238779068,1.0,0.3636363744735718
19,fish_20,4,1.0,0.6666666865348816,1.0,0.800000011920929
20,fish_21,3,0.3333333432674408,0.008196720853447914,0.3333333432674408,0.01599999889731407
21,fish_22,8,1.0,0.1702127605676651,1.0,0.290909081697464
22,fish_23,5,1.0,0.4166666567325592,1.0,0.5882353186607361
