class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9210526315789473,0.028455284552845527,0.9210526315789473,0.055205047318611984
6,fish_07,90,0.9444444444444444,0.2814569536423841,0.9444444444444444,0.4336734693877551
7,fish_08,44,0.75,0.03290129611166501,0.75,0.06303724928366762
8,fish_09,48,0.9791666666666666,0.734375,0.9791666666666666,0.8392857142857143
9,fish_10,60,1.0,0.5309734513274337,1.0,0.6936416184971098
10,fish_11,20,0.95,0.3275862068965517,0.95,0.48717948717948717
11,fish_12,29,0.9310344827586207,0.05075187969924812,0.9310344827586207,0.0962566844919786
12,fish_13,36,0.9444444444444444,0.12186379928315412,0.9444444444444444,0.21587301587301588
13,fish_14,18,0.9444444444444444,0.025525525525525526,0.9444444444444444,0.049707602339181284
14,fish_15,8,0.75,0.01935483870967742,0.75,0.03773584905660377
15,fish_16,41,1.0,0.1362126245847176,1.0,0.23976608187134502
16,fish_17,10,1.0,0.07352941176470588,1.0,0.136986301369863
17,fish_18,11,1.0,0.2558139534883721,1.0,0.4074074074074074
18,fish_19,6,1.0,0.1875,1.0,0.3157894736842105
19,fish_20,4,0.75,0.2727272727272727,0.75,0.4
20,fish_21,3,0.3333333333333333,0.011363636363636364,0.3333333333333333,0.02197802197802198
21,fish_22,8,1.0,0.02857142857142857,1.0,0.05555555555555555
22,fish_23,5,1.0,0.19230769230769232,1.0,0.3225806451612903
