epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,1.1710986599463091,2.8593975116357764,0.4948112146339977,0.0619478049735357
2,0.3982260629756746,2.4554651723819445,0.6316139716750916,0.1465454968645653
3,0.23228561628788325,2.202757573067856,0.651757193699021,0.17327942346933878
4,0.17006196933753034,2.0382283729732675,0.7007046127788549,0.19814968762130894
5,0.1302242825207471,1.942823051344616,0.721208718311228,0.20471144806911637
6,0.10348430907878728,1.8405467474615773,0.7350254184368135,0.22300834601407704
7,0.0859155590890164,1.7494415777626309,0.7099259583629289,0.21178611259040192
8,0.08145768017941239,1.761244233570896,0.7378985312162871,0.2171504256655675
9,0.07805641078782924,1.7547735128263329,0.7325708858991608,0.23354370293686683
10,0.07573435608893693,1.757752008295462,0.7363963475815822,0.22614676043353615
11,0.07816171776780854,1.7380851196028593,0.7378985312162871,0.2289859495865575
12,0.07744210776863097,1.7307618660152597,0.7409253330888287,0.2271513481916519
13,0.07433937838930664,1.736142855905784,0.7344535230119769,0.224032252052551
14,0.07425031387238373,1.7154539656383203,0.7382079417844808,0.22011076183891753
15,0.07139817087448996,1.7290163830171086,0.7120269710078431,0.2112139033571104
16,0.07335212018083286,1.7239175410977399,0.7378985312162871,0.22681163031986204
17,0.07257145714796746,1.7097616670719153,0.737667641759055,0.23836836749816728
18,0.07186434790300657,1.7188594182840518,0.7355618372444325,0.22567260529532768
19,0.07090477627192879,1.7295980948948866,0.7401868607357379,0.2537315239264849
20,0.07039097942938889,1.7074996119194528,0.7352596610229007,0.21906518182889162
