class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.868421052631579,0.025943396226415096,0.868421052631579,0.050381679389312976
6,fish_07,90,0.9888888888888889,0.27217125382262997,0.9888888888888889,0.42685851318944845
7,fish_08,44,0.8636363636363636,0.03315881326352531,0.8636363636363636,0.06386554621848739
8,fish_09,48,0.9791666666666666,0.9591836734693877,0.9791666666666666,0.9690721649484536
9,fish_10,60,0.9833333333333333,0.19471947194719472,0.9833333333333333,0.325068870523416
10,fish_11,20,1.0,0.1724137931034483,1.0,0.29411764705882354
11,fish_12,29,1.0,0.06079664570230608,1.0,0.11462450592885376
12,fish_13,36,1.0,0.1267605633802817,1.0,0.225
13,fish_14,18,1.0,0.02666666666666667,1.0,0.05194805194805195
14,fish_15,8,0.875,0.0707070707070707,0.875,0.1308411214953271
15,fish_16,41,1.0,0.25625,1.0,0.4079601990049751
16,fish_17,10,1.0,0.04830917874396135,1.0,0.09216589861751152
17,fish_18,11,1.0,0.44,1.0,0.6111111111111112
18,fish_19,6,1.0,0.3157894736842105,1.0,0.48
19,fish_20,4,0.75,0.375,0.75,0.5
20,fish_21,3,0.3333333333333333,0.010309278350515464,0.3333333333333333,0.02
21,fish_22,8,1.0,0.043010752688172046,1.0,0.08247422680412371
22,fish_23,5,1.0,0.20833333333333334,1.0,0.3448275862068966
