class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9736842105263158,0.04798962386511025,0.9736842105263158,0.09147095179233622
6,fish_07,90,0.9777777777777777,0.4,0.9777777777777777,0.567741935483871
7,fish_08,44,0.8409090909090909,0.029766693483507644,0.8409090909090909,0.057498057498057496
8,fish_09,48,0.9375,0.7142857142857143,0.9375,0.8108108108108109
9,fish_10,60,0.9833333333333333,0.28095238095238095,0.9833333333333333,0.43703703703703706
10,fish_11,20,1.0,0.5882352941176471,1.0,0.7407407407407407
11,fish_12,29,0.9655172413793104,0.058212058212058215,0.9655172413793104,0.10980392156862745
12,fish_13,36,1.0,0.1037463976945245,1.0,0.18798955613577023
13,fish_14,18,0.9444444444444444,0.024355300859598854,0.9444444444444444,0.04748603351955307
14,fish_15,8,0.75,0.014319809069212411,0.75,0.02810304449648712
15,fish_16,41,1.0,0.14487632508833923,1.0,0.25308641975308643
16,fish_17,10,1.0,0.12195121951219512,1.0,0.21739130434782608
17,fish_18,11,1.0,0.12643678160919541,1.0,0.22448979591836735
18,fish_19,6,1.0,0.5454545454545454,1.0,0.7058823529411765
19,fish_20,4,0.75,0.3,0.75,0.42857142857142855
20,fish_21,3,0.3333333333333333,0.004739336492890996,0.3333333333333333,0.009345794392523364
21,fish_22,8,1.0,0.02973977695167286,1.0,0.05776173285198556
22,fish_23,5,1.0,0.14285714285714285,1.0,0.25
