epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,1.1389162095910428,2.827880852569263,0.5161811139884602,0.10241464463997756
2,0.3894424884328969,2.384835733129271,0.6450755162711684,0.15719647068768977
3,0.2287774639103234,2.1449152668144746,0.694951425386208,0.1996571328336416
4,0.1607814025038786,2.017806094513279,0.730630540956628,0.23085706915970217
5,0.12315607271510498,1.918168889166803,0.7331083771301161,0.22844889630484544
6,0.09694887309366487,1.8403391640162898,0.7418637521898392,0.24132123867291624
7,0.08439198211720152,1.7801345528519625,0.7454285448850667,0.25017491801256814
8,0.07812202662074716,1.7569147388421664,0.7454285448850667,0.2245600649207637
9,0.07485822738475939,1.7718722856216274,0.7454285448850667,0.23453832009733122
10,0.07224683807158488,1.7584414222954234,0.7448246801507671,0.2463210104549742
11,0.07124500196915604,1.7470041953093605,0.7471817433773955,0.22394373454506591
12,0.07112529762325313,1.7332504656413397,0.7459395073525509,0.22527266516183173
13,0.07078844523221627,1.722347229385681,0.7477856081116951,0.22955537573803456
14,0.07084739537260035,1.7193981347549014,0.7471817433773955,0.219844318700793
15,0.06892460352748253,1.730202780027971,0.7459395073525509,0.2501499562572003
16,0.06882035911249952,1.727523745317714,0.7471817433773955,0.2390633747412328
17,0.06975049327761437,1.7191150820835128,0.7468778202473855,0.23360996984614718
18,0.06938881682633007,1.7281587409167345,0.7492348834740139,0.22786333695422623
19,0.06837133361357235,1.7357550089858553,0.7466707809099112,0.2501915631023312
20,0.06878850537586677,1.7248623284827522,0.7486310187397144,0.22472758204959772
