class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0024772915057837963,1.0,0.0024772915057837963,0.00494233937934041
1,fish_02,537,0.858473002910614,0.682962954044342,0.858473002910614,0.7607260942459106
2,fish_03,719,0.7927677035331726,0.6651108264923096,0.7927677035331726,0.7233501672744751
3,fish_04,810,0.8790123462677002,0.9766803979873657,0.8790123462677002,0.9252761602401733
4,fish_05,507,0.9881656765937805,0.978515625,0.9881656765937805,0.9833170175552368
5,fish_06,38,1.0,0.0949999988079071,1.0,0.17351597547531128
6,fish_07,90,1.0,0.6666666865348816,1.0,0.800000011920929
7,fish_08,44,0.9772727489471436,0.04897494241595268,0.9772727489471436,0.09327548742294312
8,fish_09,48,1.0,0.9056603908538818,1.0,0.9504950642585754
9,fish_10,60,0.9833333492279053,0.8428571224212646,0.9833333492279053,0.9076923131942749
10,fish_11,20,1.0,0.5882353186607361,1.0,0.7407407164573669
11,fish_12,29,1.0,0.2788461446762085,1.0,0.4360902011394501
12,fish_13,36,0.9722222089767456,0.5555555820465088,0.9722222089767456,0.7070707082748413
13,fish_14,18,1.0,0.057507988065481186,1.0,0.10876133292913437
14,fish_15,8,0.875,0.028925620019435883,0.875,0.0559999980032444
15,fish_16,41,1.0,0.7735849022865295,1.0,0.8723404407501221
16,fish_17,10,1.0,0.18518517911434174,1.0,0.3125
17,fish_18,11,1.0,0.4583333432674408,1.0,0.6285714507102966
18,fish_19,6,1.0,0.1034482792019844,1.0,0.1875
19,fish_20,4,0.75,1.0,0.75,0.8571428656578064
20,fish_21,3,0.3333333432674408,0.00826446246355772,0.3333333432674408,0.016129031777381897
21,fish_22,8,1.0,0.10958904027938843,1.0,0.1975308507680893
22,fish_23,5,1.0,0.29411765933036804,1.0,0.4545454680919647
