epoch,train_loss,val_loss,val_acc,val_macroF1
1,1.3302150050181998,0.9914511473755858,0.7833333333333333,0.5827630507010823
2,0.5073377938201422,0.7417151827246087,0.8152968036529681,0.6480161997022862
3,0.3639025747449356,0.5577171581520882,0.8570776255707763,0.6914334212223985
4,0.2983720214957923,0.5620235530208779,0.8504566210045662,0.6839437360166006
5,0.2533448674031441,0.4759102221493307,0.8732876712328768,0.7150059239316279
6,0.220064168353145,0.525492341768796,0.852283105022831,0.7091565627130344
7,0.20592459071224262,0.45390958140974175,0.8721461187214612,0.7212877608111318
8,0.19347402739944075,0.438877155274561,0.8753424657534247,0.7312120340037748
9,0.18927149063214016,0.4607291035184033,0.8735159817351598,0.7328301780875792
10,0.18622650264958646,0.4542379327016334,0.8753424657534247,0.7270888401087727
