class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.8947368421052632,0.033235581622678395,0.8947368421052632,0.0640904806786051
6,fish_07,90,0.9222222222222223,0.40487804878048783,0.9222222222222223,0.5627118644067797
7,fish_08,44,0.75,0.04177215189873418,0.75,0.07913669064748201
8,fish_09,48,1.0,0.6575342465753424,1.0,0.7933884297520661
9,fish_10,60,0.9833333333333333,0.37579617834394907,0.9833333333333333,0.543778801843318
10,fish_11,20,1.0,0.19047619047619047,1.0,0.32
11,fish_12,29,1.0,0.04296296296296296,1.0,0.08238636363636363
12,fish_13,36,0.9444444444444444,0.10429447852760736,0.9444444444444444,0.1878453038674033
13,fish_14,18,1.0,0.019629225736095966,1.0,0.038502673796791446
14,fish_15,8,0.625,0.04201680672268908,0.625,0.07874015748031496
15,fish_16,41,1.0,0.19523809523809524,1.0,0.32669322709163345
16,fish_17,10,1.0,0.07575757575757576,1.0,0.14084507042253522
17,fish_18,11,1.0,0.19298245614035087,1.0,0.3235294117647059
18,fish_19,6,1.0,0.1935483870967742,1.0,0.32432432432432434
19,fish_20,4,0.75,0.75,0.75,0.75
20,fish_21,3,0.3333333333333333,0.005988023952095809,0.3333333333333333,0.011764705882352941
21,fish_22,8,1.0,0.017660044150110375,1.0,0.03470715835140998
22,fish_23,5,1.0,0.16666666666666666,1.0,0.2857142857142857
