class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.8947368421052632,0.03195488721804511,0.8947368421052632,0.06170598911070781
6,fish_07,90,0.9333333333333333,0.45901639344262296,0.9333333333333333,0.6153846153846154
7,fish_08,44,0.8181818181818182,0.04911323328785812,0.8181818181818182,0.09266409266409266
8,fish_09,48,1.0,0.5333333333333333,1.0,0.6956521739130435
9,fish_10,60,0.9833333333333333,0.39864864864864863,0.9833333333333333,0.5673076923076923
10,fish_11,20,1.0,0.45454545454545453,1.0,0.625
11,fish_12,29,1.0,0.038978494623655914,1.0,0.07503234152652005
12,fish_13,36,0.9444444444444444,0.061930783242258654,0.9444444444444444,0.11623931623931624
13,fish_14,18,1.0,0.020134228187919462,1.0,0.039473684210526314
14,fish_15,8,0.625,0.026455026455026454,0.625,0.050761421319796954
15,fish_16,41,0.975609756097561,0.22099447513812154,0.975609756097561,0.36036036036036034
16,fish_17,10,1.0,0.040160642570281124,1.0,0.07722007722007722
17,fish_18,11,1.0,0.2619047619047619,1.0,0.41509433962264153
18,fish_19,6,1.0,0.14285714285714285,1.0,0.25
19,fish_20,4,0.75,0.6,0.75,0.6666666666666666
20,fish_21,3,0.3333333333333333,0.008849557522123894,0.3333333333333333,0.017241379310344827
21,fish_22,8,0.75,0.03076923076923077,0.75,0.059113300492610835
22,fish_23,5,1.0,0.5555555555555556,1.0,0.7142857142857143
