epoch,train_loss,val_loss,val_acc,val_macroF1
1,1.3554155307426985,1.041791678563645,0.7682648401826484,0.5833888225596854
2,0.5036344987925777,0.7303313223738649,0.8198630136986301,0.6402257956729841
3,0.35874697543573475,0.6253305904941472,0.8394977168949772,0.6758314363083724
4,0.29570851311152263,0.5170547995393134,0.8636986301369863,0.6881403886493641
5,0.2524264603410853,0.5067600306854945,0.8625570776255708,0.7092592351421808
6,0.22879030537281334,0.4413457371056352,0.880593607305936,0.716412188130698
7,0.20503032758923856,0.4683309031948107,0.869406392694064,0.6948758812634379
8,0.19135461281453348,0.44397144053624643,0.880593607305936,0.7246157201542051
9,0.18547963778241416,0.4395639727104744,0.8801369863013698,0.7360037639473657
10,0.19641286636642954,0.442194677106866,0.8751141552511416,0.7256577316525751
