class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.8947368421052632,0.02835696413678065,0.8947368421052632,0.0549717057396928
6,fish_07,90,0.9666666666666667,0.4142857142857143,0.9666666666666667,0.58
7,fish_08,44,0.8181818181818182,0.039735099337748346,0.8181818181818182,0.07578947368421053
8,fish_09,48,0.9791666666666666,0.49473684210526314,0.9791666666666666,0.6573426573426573
9,fish_10,60,0.9833333333333333,0.29949238578680204,0.9833333333333333,0.4591439688715953
10,fish_11,20,1.0,0.19047619047619047,1.0,0.32
11,fish_12,29,0.9310344827586207,0.07563025210084033,0.9310344827586207,0.13989637305699482
12,fish_13,36,0.9444444444444444,0.07327586206896551,0.9444444444444444,0.136
13,fish_14,18,1.0,0.022388059701492536,1.0,0.043795620437956206
14,fish_15,8,0.75,0.017595307917888565,0.75,0.034383954154727794
15,fish_16,41,1.0,0.11357340720221606,1.0,0.20398009950248755
16,fish_17,10,1.0,0.1282051282051282,1.0,0.22727272727272727
17,fish_18,11,1.0,0.22916666666666666,1.0,0.3728813559322034
18,fish_19,6,1.0,0.20689655172413793,1.0,0.34285714285714286
19,fish_20,4,0.75,1.0,0.75,0.8571428571428571
20,fish_21,3,0.3333333333333333,0.01639344262295082,0.3333333333333333,0.03125
21,fish_22,8,1.0,0.041025641025641026,1.0,0.07881773399014778
22,fish_23,5,1.0,0.23809523809523808,1.0,0.38461538461538464
