epoch,train_loss,val_loss,val_acc,val_macroF1
1,0.17158631613904368,0.05200474299985272,0.9943074003795066,0.9939961037333526
2,0.058536033182345674,0.03137383140637707,0.9962049335863378,0.9959937359362647
3,0.04491841524542227,0.02621403280680953,0.9952561669829222,0.9949944673191906
4,0.037123197095304136,0.020144473418480306,0.9981024667931688,0.9979950160741121
5,0.03165916640378698,0.02047107040005572,0.9962049335863378,0.9959974024889017
6,0.026275302526688755,0.016584463332703716,0.9962049335863378,0.9959974024889017
7,0.025589095115491806,0.014946091496005683,0.9981024667931688,0.9979950160741121
8,0.01984004044404708,0.016419990583759446,0.9971537001897534,0.9969966803915143
9,0.023634107240386386,0.015048601758265178,0.9971537001897534,0.9969939165312725
10,0.02204343911653061,0.015098710682250178,0.9981024667931688,0.9979968679681324
