class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9473684210526315,0.034026465028355386,0.9473684210526315,0.06569343065693431
6,fish_07,90,0.9111111111111111,0.35807860262008734,0.9111111111111111,0.5141065830721003
7,fish_08,44,0.7954545454545454,0.029661016949152543,0.7954545454545454,0.05718954248366013
8,fish_09,48,0.9583333333333334,0.8679245283018868,0.9583333333333334,0.9108910891089109
9,fish_10,60,0.9833333333333333,0.33714285714285713,0.9833333333333333,0.502127659574468
10,fish_11,20,1.0,0.1724137931034483,1.0,0.29411764705882354
11,fish_12,29,1.0,0.05380333951762523,1.0,0.10211267605633803
12,fish_13,36,0.9444444444444444,0.12186379928315412,0.9444444444444444,0.21587301587301588
13,fish_14,18,1.0,0.02236024844720497,1.0,0.04374240583232078
14,fish_15,8,0.625,0.016181229773462782,0.625,0.031545741324921134
15,fish_16,41,1.0,0.2192513368983957,1.0,0.35964912280701755
16,fish_17,10,1.0,0.12195121951219512,1.0,0.21739130434782608
17,fish_18,11,1.0,0.3235294117647059,1.0,0.4888888888888889
18,fish_19,6,1.0,0.16666666666666666,1.0,0.2857142857142857
19,fish_20,4,0.75,0.6,0.75,0.6666666666666666
20,fish_21,3,0.3333333333333333,0.010752688172043012,0.3333333333333333,0.020833333333333332
21,fish_22,8,1.0,0.02867383512544803,1.0,0.05574912891986063
22,fish_23,5,1.0,0.3333333333333333,1.0,0.5
