epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,1.1721415939536304,2.8049467874188543,0.478920164867085,0.06988951811139969
2,0.41905648944012724,2.3647768380408363,0.6406019615085295,0.16080014978368218
3,0.25640045767380454,2.133752365639341,0.6859697387102568,0.19515884897903607
4,0.17658069791393396,1.9726546335013442,0.7230510431597388,0.20423847710634102
5,0.13031795686547354,1.8597594369734551,0.7400800286669853,0.20124684243340635
6,0.10512347666648464,1.7991589002071326,0.7365364707756012,0.21060328570527706
7,0.09029182394958082,1.7262100038748405,0.7487517916865742,0.2313575621995323
8,0.08239953060092506,1.710457888605606,0.7518401284705634,0.23497126871810753
9,0.08124066248605014,1.7050389501977168,0.7505978924457185,0.22894649684735996
10,0.07986005950116633,1.6939605596703082,0.7644867813346075,0.2343748097858557
11,0.07829883503716184,1.6986285203340037,0.7523165843818017,0.235582522405564
12,0.07793528520996973,1.67460469509211,0.7643938790677921,0.21893940672939127
13,0.07474971261891375,1.6887978580232679,0.7529549556723469,0.23035929028697674
14,0.075413724556527,1.665631878781629,0.7668093380049903,0.23151992683121303
15,0.07411713623118237,1.677886124859392,0.7523510909380475,0.2319934126801861
16,0.07520809995823202,1.6611000118965589,0.7517127196475023,0.2268233853606196
17,0.0742416182741214,1.6708309382547333,0.7668093380049903,0.22846897952812253
18,0.07415266063264457,1.6623489365617987,0.7668093380049903,0.22522202472549116
19,0.07431453721148105,1.6678332679210175,0.7662399798269364,0.22625278137370586
20,0.07379019089975047,1.6652258433389675,0.7668093380049903,0.22259457156737514
