class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.8547486066818237,0.8895348906517029,0.8547486066818237,0.8717948794364929
2,fish_03,719,0.7677329778671265,0.7272727489471436,0.7677329778671265,0.746955394744873
3,fish_04,810,0.9012345671653748,0.9057071805000305,0.9012345671653748,0.9034653306007385
4,fish_05,507,0.9881656765937805,0.984282910823822,0.9881656765937805,0.9862204790115356
5,fish_06,38,1.0,0.06574394553899765,1.0,0.12337663024663925
6,fish_07,90,1.0,0.6617646813392639,1.0,0.7964602112770081
7,fish_08,44,0.9772727489471436,0.04455958679318428,0.9772727489471436,0.08523290604352951
8,fish_09,48,1.0,0.8135592937469482,1.0,0.8971962332725525
9,fish_10,60,0.9833333492279053,0.9365079402923584,0.9833333492279053,0.9593496322631836
10,fish_11,20,1.0,0.9090909361839294,1.0,0.9523809552192688
11,fish_12,29,0.9655172228813171,0.22047244012355804,0.9655172228813171,0.3589743673801422
12,fish_13,36,0.9722222089767456,0.6034482717514038,0.9722222089767456,0.7446808815002441
13,fish_14,18,1.0,0.05027933046221733,1.0,0.09574467688798904
14,fish_15,8,0.75,0.0419580414891243,0.75,0.0794702023267746
15,fish_16,41,1.0,0.8199999928474426,1.0,0.901098906993866
16,fish_17,10,1.0,0.3030303120613098,1.0,0.46511632204055786
17,fish_18,11,1.0,0.550000011920929,1.0,0.7096774578094482
18,fish_19,6,1.0,0.13333334028720856,1.0,0.2352941334247589
19,fish_20,4,1.0,1.0,1.0,1.0
20,fish_21,3,0.3333333432674408,0.02380952425301075,0.3333333432674408,0.04444444552063942
21,fish_22,8,1.0,0.0470588244497776,1.0,0.08988764137029648
22,fish_23,5,1.0,0.4545454680919647,1.0,0.625
