epoch,train_loss,val_loss,val_acc,val_macroF1
1,0.06850078395777448,0.0056320955107373805,1.0,1.0
2,0.005700519608496445,0.0024933485187010477,1.0,1.0
3,0.004382433884835502,0.001353787372915509,1.0,1.0
4,0.0023969018499960405,0.0011635027563842667,1.0,1.0
5,0.0021601899075724277,0.000770406717561765,1.0,1.0
6,0.0012755350274503043,0.000597080293127408,1.0,1.0
7,0.0010047141580417016,0.0004504779434367039,1.0,1.0
8,0.0015209369281358161,0.00042745567567953997,1.0,1.0
9,0.0010659634439001153,0.0004835172229516276,1.0,1.0
10,0.00099596461909801,0.0006269960890858093,1.0,1.0
