class_index,class_name,support,macroAcc,precision,recall,f1
0,fish_01,2422,0.0,0.0,0.0,0.0
1,fish_02,537,0.0,0.0,0.0,0.0
2,fish_03,719,0.0,0.0,0.0,0.0
3,fish_04,810,0.0,0.0,0.0,0.0
4,fish_05,507,0.0,0.0,0.0,0.0
5,fish_06,38,0.9210526315789473,0.03349282296650718,0.9210526315789473,0.06463527239150507
6,fish_07,90,0.9444444444444444,0.3413654618473896,0.9444444444444444,0.5014749262536873
7,fish_08,44,0.8181818181818182,0.03188662533215235,0.8181818181818182,0.061381074168797956
8,fish_09,48,1.0,0.6956521739130435,1.0,0.8205128205128205
9,fish_10,60,0.9666666666666667,0.3372093023255814,0.9666666666666667,0.5
10,fish_11,20,1.0,0.3225806451612903,1.0,0.4878048780487805
11,fish_12,29,1.0,0.04873949579831933,1.0,0.09294871794871795
12,fish_13,36,0.9722222222222222,0.14,0.9722222222222222,0.24475524475524477
13,fish_14,18,1.0,0.02236024844720497,1.0,0.04374240583232078
14,fish_15,8,0.625,0.025380710659898477,0.625,0.04878048780487805
15,fish_16,41,1.0,0.10991957104557641,1.0,0.19806763285024154
16,fish_17,10,1.0,0.08403361344537816,1.0,0.15503875968992248
17,fish_18,11,1.0,0.22916666666666666,1.0,0.3728813559322034
18,fish_19,6,1.0,0.3,1.0,0.46153846153846156
19,fish_20,4,1.0,0.36363636363636365,1.0,0.5333333333333333
20,fish_21,3,0.3333333333333333,0.012195121951219513,0.3333333333333333,0.023529411764705882
21,fish_22,8,1.0,0.0365296803652968,1.0,0.07048458149779736
22,fish_23,5,1.0,0.1724137931034483,1.0,0.29411764705882354
